epoch,train_loss,val_loss,train_f1,val_f1,val_prec,val_rec,lr
1,0.7316923414584386,0.679882824420929,0.4346076458752515,0.0,0.0,0.0,0.0009990133642141358
2,0.7107683886652407,0.7819666266441345,0.3982494529540481,0.5454545454545454,0.375,1.0,0.000996057350657239
3,0.7220737124765199,0.7463564872741699,0.5555555555555556,0.5454545454545454,0.375,1.0,0.0009911436253643444
4,0.7185188292659644,0.6836068034172058,0.40540540540540543,0.0,0.0,0.0,0.0009842915805643156
5,0.704642425412717,0.6676194667816162,0.526148969889065,0.0,0.0,0.0,0.0009755282581475769
6,0.7172469139896508,0.7132929563522339,0.5490196078431373,0.5454545454545454,0.375,1.0,0.0009648882429441258
7,0.7024234684813382,0.6870225071907043,0.5059021922428331,0.0,0.0,0.0,0.0009524135262330099
8,0.702475127767161,0.6837150454521179,0.5718475073313783,0.0,0.0,0.0,0.0009381533400219318
9,0.7007311694199425,0.6856229901313782,0.4363001745200698,0.0,0.0,0.0,0.0009221639627510075
10,0.6936708830272075,0.7067101001739502,0.28921568627450983,0.5454545454545454,0.375,1.0,4.992664502959351e-05
11,0.6931734677142523,0.6788274645805359,0.3534675615212528,0.0,0.0,0.0,4.970701059450871e-05
12,0.6971684803930812,0.693228542804718,0.3494736842105263,0.5454545454545454,0.375,1.0,4.934238559694447e-05
